Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
-1.3084288370736354,0,2,3,-1.3841704102543333,-0.90205240401957,0,2,0,0,0,0,0.1542331288179603,3
0.47562274191557835,0,1,2,0.152787613826363,0.3986114809868581,0,1,0,0,1,0,-0.2749670578966146,4
-0.4164030475790286,1,1,0,-0.6239505913381722,1.4627910232648447,0,1,0,1,0,0,-1.5963361881519085,4
-1.3084288370736354,0,2,1,-0.6362084438049715,1.1080645091721826,1,3,1,0,1,0,-0.33691760134583665,4
-1.3084288370736354,1,1,2,-1.6678841235955464,0.9898223378079618,0,0,1,0,0,0,-1.8470359851934532,4
1.3676485314101854,0,0,1,-0.26589355166844686,-1.729747603569115,0,1,1,0,0,0,1.286140489968767,1
-0.4164030475790286,0,0,1,1.024681849868325,1.4627910232648447,0,3,0,0,1,0,-1.129893287698077,4
1.3676485314101854,0,0,2,0.45016912103451756,0.7533379950795204,0,0,0,0,0,0,-1.3917486671668575,4
0.47562274191557835,1,0,1,1.4434696749825888,-1.0202945753837906,0,2,1,0,0,0,1.4129151856297018,1
0.47562274191557835,1,3,1,-0.026976953458998983,0.7533379950795204,0,3,1,1,0,0,-0.2902523027911013,4
-0.4164030475790286,1,1,1,1.5640636709877853,-0.429083718562687,1,3,1,0,0,0,0.9476657210567418,2
-1.3084288370736354,0,2,2,1.3560877099222737,1.6992753659932862,0,4,0,1,0,0,-0.9172941655623531,4
0.47562274191557835,1,0,3,1.1440607935825038,1.6992753659932862,0,2,0,1,1,0,-1.6624712000112387,4
-0.4164030475790286,1,0,1,0.9118148901981858,-1.1385367467480114,1,3,0,0,0,1,1.4329648641555432,1
1.3676485314101854,0,1,0,0.2264278782760397,-0.7838102326553492,1,2,1,0,1,0,1.2544360842208913,1
1.3676485314101854,1,0,0,1.8279050531105292,1.1080645091721826,0,1,0,0,0,0,-1.0737520312274438,4
-0.4164030475790286,0,0,0,1.374114775413993,-0.5473258899269078,1,4,0,1,0,0,1.2908308855477484,1
1.3676485314101854,0,1,2,0.4653460805306573,-0.6655680612911284,0,3,0,0,0,0,1.0231988772700475,2
1.3676485314101854,0,2,3,-1.7016423802895209,0.7533379950795204,1,2,1,0,0,0,-0.9685505242801944,4
0.47562274191557835,0,0,3,1.7477231575122623,0.9898223378079618,0,1,0,0,1,1,-1.850077593638683,4
1.3676485314101854,1,0,2,1.5974761898894265,-1.2567789181122322,1,3,1,1,0,1,2.1015355005348257,0
-0.4164030475790286,1,0,2,1.7376765375002152,-1.6115054322048943,0,0,1,0,0,0,1.521822215233024,1
0.47562274191557835,1,2,1,1.657084931988377,0.6350958237152996,0,1,1,0,0,0,-0.6332894290365362,4
0.47562274191557835,1,2,2,-0.12176641937770619,-1.4932632608406737,1,3,1,1,0,0,2.261875217238179,0
-0.4164030475790286,0,0,3,-0.008902089546803882,1.1080645091721826,0,0,0,0,0,0,-1.370051771000847,4
1.3676485314101854,0,0,4,1.4187475461198418,-0.7838102326553492,1,2,0,1,0,1,1.0583639463635865,2
1.3676485314101854,1,2,4,1.5299221050079717,0.5168536523510788,0,3,0,1,0,0,-0.33963623062224924,4
-1.3084288370736354,0,0,1,0.7412181152203591,0.3986114809868581,0,4,1,1,0,0,0.27844695502172095,3
-0.4164030475790286,0,0,0,0.38630279284142777,0.04388496689419592,1,4,1,0,0,0,0.8093890929458847,2
-0.4164030475790286,0,3,3,-1.3404192598831235,0.5168536523510788,0,1,0,0,0,1,-0.899153349260098,3
1.3676485314101854,0,2,2,-0.3780253860439207,-1.6115054322048943,0,1,0,0,0,0,0.5681339832992617,3
-0.4164030475790286,0,1,2,-0.8884109937203002,0.3986114809868581,0,3,0,1,0,0,-0.5330133246522001,4
-1.3084288370736354,1,2,1,0.5707405029098398,-0.0743572044700248,0,2,0,1,0,1,0.2254716368887252,3
-1.3084288370736354,1,1,2,-1.4648137352826467,0.7533379950795204,0,1,0,0,0,0,-1.7630997145870904,4
1.3676485314101854,0,1,1,1.312065766527637,0.9898223378079618,0,3,0,1,0,0,-0.6068628841680609,4
-1.3084288370736354,1,2,2,-1.4049155565366593,-0.3108415471984663,0,2,1,0,0,0,0.12143819722739183,3
-1.3084288370736354,1,0,1,-0.2529738064260073,-1.4932632608406737,0,1,1,0,0,0,0.9931699320739377,2
1.3676485314101854,0,1,2,-1.4211771532744648,1.2263066805364033,0,3,0,0,0,0,-1.545093389077682,4
0.47562274191557835,0,3,1,-0.42400398333851924,0.2803693096226374,0,3,0,0,0,0,0.03636176176171848,4
0.47562274191557835,1,0,1,1.1863307953694266,-0.5473258899269078,0,3,0,1,0,0,0.8403334934008629,2
-0.4164030475790286,1,1,3,-1.4535134277883117,-1.375021089476453,0,3,0,0,0,0,0.9052449391970959,0
-1.3084288370736354,0,0,1,0.29321992575988537,0.7533379950795204,1,2,1,0,0,0,-0.31178165704501876,4
-1.3084288370736354,1,2,1,-0.24656192197615964,-1.2567789181122322,0,2,1,1,1,0,1.6152768998414795,1
0.47562274191557835,1,0,2,-1.7089350809252852,1.5810331946290654,0,3,0,0,0,0,-2.02707643118811,4
-0.4164030475790286,1,3,2,-0.3479131407621194,0.16212713825841665,0,4,0,0,1,0,-0.4656952897222397,4
0.47562274191557835,0,0,1,0.38482162118425867,-0.429083718562687,0,1,0,0,0,0,0.27083199126212776,3
-1.3084288370736354,0,0,1,1.2831903074529865,-0.6655680612911284,0,2,1,1,0,0,0.9368443098478694,2
1.3676485314101854,0,0,2,-0.11627742096603241,0.9898223378079618,0,1,0,0,1,0,-1.1318244993440907,4
-1.3084288370736354,0,2,2,-1.000380937162024,0.9898223378079618,0,4,1,1,0,0,-0.4468247378004899,4
-1.3084288370736354,0,0,2,0.49210747589950127,0.9898223378079618,1,2,0,1,0,0,-0.48567834855188885,4
-1.3084288370736354,0,3,2,-1.1171879255756765,-1.2567789181122322,0,1,1,1,1,1,0.6718112568764818,2
1.3676485314101854,0,2,1,1.8178885893477108,-0.7838102326553492,0,3,1,0,1,1,1.427485240007859,1
-1.3084288370736354,1,2,3,-1.2474224752470484,1.5810331946290654,0,3,0,0,0,0,-1.8335534151976725,4
-1.3084288370736354,1,1,2,0.11839722271679218,0.04388496689419592,1,1,1,0,0,0,0.4806518424170197,3
1.3676485314101854,0,1,3,-0.28692266872737515,1.2263066805364033,0,1,1,0,0,0,-1.7065405740837079,4
